timestep,precision,update_magnitude,state_magnitude,effective_change,relative_change,ineffective,ineffective_cumulative,dim
17,float16,7.62939453125e-06,4.6884765625,0.0,0.0,True,7,8
18,float16,3.814697265625e-06,4.6884765625,0.0,0.0,True,8,8
19,float16,1.9073486328125e-06,4.6884765625,0.0,0.0,True,9,8
20,float16,9.5367431640625e-07,4.6884765625,0.0,0.0,True,10,8
21,float16,4.76837158203125e-07,4.6884765625,0.0,0.0,True,11,8
22,float16,2.384185791015625e-07,4.6884765625,0.0,0.0,True,12,8
23,float16,1.1920928955078125e-07,4.6884765625,0.0,0.0,True,13,8
24,float16,5.960464477539063e-08,4.6884765625,0.0,0.0,True,14,8
25,float16,2.9802322387695312e-08,4.6884765625,0.0,0.0,True,15,8
26,float16,1.4901161193847656e-08,4.6884765625,0.0,0.0,True,16,8
27,float16,7.450580596923828e-09,4.6884765625,0.0,0.0,True,17,8
28,float16,3.725290298461914e-09,4.6884765625,0.0,0.0,True,18,8
29,float16,1.862645149230957e-09,4.6884765625,0.0,0.0,True,19,8
30,float16,9.313225746154785e-10,4.6884765625,0.0,0.0,True,20,8
31,float16,4.656612873077393e-10,4.6884765625,0.0,0.0,True,21,8
32,float16,2.3283064365386963e-10,4.6884765625,0.0,0.0,True,22,8
33,float16,1.1641532182693481e-10,4.6884765625,0.0,0.0,True,23,8
34,float16,5.820766091346741e-11,4.6884765625,0.0,0.0,True,24,8
35,float16,2.9103830456733704e-11,4.6884765625,0.0,0.0,True,25,8
36,float16,1.4551915228366852e-11,4.6884765625,0.0,0.0,True,26,8
37,float16,7.275957614183426e-12,4.6884765625,0.0,0.0,True,27,8
38,float16,3.637978807091713e-12,4.6884765625,0.0,0.0,True,28,8
39,float16,1.8189894035458565e-12,4.6884765625,0.0,0.0,True,29,8
40,float16,9.094947017729282e-13,4.6884765625,0.0,0.0,True,30,8
41,float16,4.547473508864641e-13,4.6884765625,0.0,0.0,True,31,8
42,float16,2.2737367544323206e-13,4.6884765625,0.0,0.0,True,32,8
43,float16,1.1368683772161603e-13,4.6884765625,0.0,0.0,True,33,8
44,float16,5.684341886080802e-14,4.6884765625,0.0,0.0,True,34,8
45,float16,2.842170943040401e-14,4.6884765625,0.0,0.0,True,35,8
46,float16,1.4210854715202004e-14,4.6884765625,0.0,0.0,True,36,8
47,float16,7.105427357601002e-15,4.6884765625,0.0,0.0,True,37,8
48,float16,3.552713678800501e-15,4.6884765625,0.0,0.0,True,38,8
49,float16,1.7763568394002505e-15,4.6884765625,0.0,0.0,True,39,8
50,float16,8.881784197001252e-16,4.6884765625,0.0,0.0,True,40,8
51,float16,4.440892098500626e-16,4.6884765625,0.0,0.0,True,41,8
52,float16,2.220446049250313e-16,4.6884765625,0.0,0.0,True,42,8
53,float16,1.1102230246251565e-16,4.6884765625,0.0,0.0,True,43,8
54,float16,5.551115123125783e-17,4.6884765625,0.0,0.0,True,44,8
55,float16,2.7755575615628914e-17,4.6884765625,0.0,0.0,True,45,8
56,float16,1.3877787807814457e-17,4.6884765625,0.0,0.0,True,46,8
57,float16,6.938893903907228e-18,4.6884765625,0.0,0.0,True,47,8
58,float16,3.469446951953614e-18,4.6884765625,0.0,0.0,True,48,8
59,float16,1.734723475976807e-18,4.6884765625,0.0,0.0,True,49,8
