pos,pos_frac,trial,seed,correct
4,0.5714285714285714,15,57,0.0
5,0.7142857142857143,15,57,1.0
6,0.8571428571428571,15,57,1.0
7,1.0,15,57,0.0
0,0.0,16,58,0.0
1,0.14285714285714285,16,58,0.0
2,0.2857142857142857,16,58,1.0
3,0.42857142857142855,16,58,0.0
4,0.5714285714285714,16,58,0.0
5,0.7142857142857143,16,58,1.0
6,0.8571428571428571,16,58,1.0
7,1.0,16,58,1.0
0,0.0,17,59,0.0
1,0.14285714285714285,17,59,1.0
2,0.2857142857142857,17,59,1.0
3,0.42857142857142855,17,59,0.0
4,0.5714285714285714,17,59,0.0
5,0.7142857142857143,17,59,0.0
6,0.8571428571428571,17,59,1.0
7,1.0,17,59,0.0
0,0.0,18,60,0.0
1,0.14285714285714285,18,60,1.0
2,0.2857142857142857,18,60,0.0
3,0.42857142857142855,18,60,0.0
4,0.5714285714285714,18,60,0.0
5,0.7142857142857143,18,60,0.0
6,0.8571428571428571,18,60,0.0
7,1.0,18,60,1.0
0,0.0,19,61,1.0
1,0.14285714285714285,19,61,0.0
2,0.2857142857142857,19,61,1.0
3,0.42857142857142855,19,61,0.0
4,0.5714285714285714,19,61,0.0
5,0.7142857142857143,19,61,0.0
6,0.8571428571428571,19,61,0.0
7,1.0,19,61,0.0
0,0.0,20,62,0.0
1,0.14285714285714285,20,62,0.0
2,0.2857142857142857,20,62,0.0
3,0.42857142857142855,20,62,0.0
4,0.5714285714285714,20,62,1.0
5,0.7142857142857143,20,62,0.0
6,0.8571428571428571,20,62,0.0
7,1.0,20,62,0.0
0,0.0,21,63,0.0
1,0.14285714285714285,21,63,0.0
2,0.2857142857142857,21,63,0.0
3,0.42857142857142855,21,63,0.0
4,0.5714285714285714,21,63,0.0
5,0.7142857142857143,21,63,0.0
6,0.8571428571428571,21,63,1.0
7,1.0,21,63,0.0
0,0.0,22,64,1.0
1,0.14285714285714285,22,64,0.0
2,0.2857142857142857,22,64,0.0
3,0.42857142857142855,22,64,0.0
4,0.5714285714285714,22,64,1.0
5,0.7142857142857143,22,64,0.0
6,0.8571428571428571,22,64,0.0
7,1.0,22,64,1.0
0,0.0,23,65,1.0
1,0.14285714285714285,23,65,1.0
2,0.2857142857142857,23,65,0.0
3,0.42857142857142855,23,65,0.0
4,0.5714285714285714,23,65,1.0
5,0.7142857142857143,23,65,1.0
6,0.8571428571428571,23,65,1.0
7,1.0,23,65,0.0
0,0.0,24,66,0.0
1,0.14285714285714285,24,66,0.0
2,0.2857142857142857,24,66,1.0
3,0.42857142857142855,24,66,1.0
4,0.5714285714285714,24,66,0.0
5,0.7142857142857143,24,66,0.0
6,0.8571428571428571,24,66,0.0
7,1.0,24,66,0.0
0,0.0,25,67,0.0
1,0.14285714285714285,25,67,0.0
2,0.2857142857142857,25,67,0.0
3,0.42857142857142855,25,67,0.0
4,0.5714285714285714,25,67,0.0
5,0.7142857142857143,25,67,1.0
6,0.8571428571428571,25,67,0.0
7,1.0,25,67,1.0
0,0.0,26,68,0.0
