N,position_frac,trial,recovered,error,state_norm
512,0.5,2,1.0,0.998160261884834,5.219620255628156
512,0.5,3,1.0,0.998784073942824,5.21490858897247
512,0.5,4,1.0,0.9967950807065826,6.944686753077939
512,0.5,5,1.0,0.9978946022844781,6.592995145129799
512,0.5,6,1.0,0.9972248295422258,6.646438129337046
512,0.5,7,1.0,0.9983208263823505,5.323208165927271
512,0.5,8,1.0,0.9964164114657612,6.9843235430503245
512,0.5,9,1.0,0.9964657914804805,7.076120917806708
512,0.9,0,1.0,0.9978485130298055,6.039084077425782
512,0.9,1,1.0,0.9979168825731277,6.057517232052055
512,0.9,2,1.0,0.998160261884834,5.219620255628156
512,0.9,3,1.0,0.998784073942824,5.21490858897247
512,0.9,4,1.0,0.9967950807065826,6.944686753077938
512,0.9,5,1.0,0.9978946022844781,6.592995145129797
512,0.9,6,1.0,0.9972248295422258,6.646438129337046
512,0.9,7,1.0,0.9983208263823505,5.32320816592727
512,0.9,8,1.0,0.9964164114657612,6.9843235430503245
512,0.9,9,1.0,0.9964657914804805,7.076120917806708
1024,0.1,0,1.0,0.9986516311448854,9.500058574598311
1024,0.1,1,1.0,0.9987108627379735,7.3406068074265125
1024,0.1,2,0.0,0.9993718205051539,6.861770443967603
1024,0.1,3,0.0,0.9997003729547921,6.528412837018002
1024,0.1,4,1.0,0.9978753838820162,9.265213107770748
1024,0.1,5,1.0,0.9986501955887201,7.370112709677178
1024,0.1,6,1.0,0.9986365124597008,8.8965979645722
1024,0.1,7,1.0,0.9992624522548123,5.3459214611868076
1024,0.1,8,1.0,0.9978402550262241,9.180967450541793
1024,0.1,9,1.0,0.9984989841111006,7.99672173949526
1024,0.5,0,1.0,0.9986516311448854,9.500058574598311
1024,0.5,1,1.0,0.9987108627379735,7.340606807426513
1024,0.5,2,0.0,0.9993718205051539,6.861770443967603
1024,0.5,3,0.0,0.9997003729547921,6.528412837018002
1024,0.5,4,1.0,0.9978753838820162,9.265213107770748
1024,0.5,5,1.0,0.9986501955887201,7.370112709677177
1024,0.5,6,1.0,0.9986365124597008,8.8965979645722
1024,0.5,7,1.0,0.9992624522548123,5.3459214611868076
1024,0.5,8,1.0,0.9978402550262241,9.180967450541793
1024,0.5,9,1.0,0.9984989841111006,7.99672173949526
1024,0.9,0,1.0,0.9986516311448854,9.50005857459831
1024,0.9,1,1.0,0.9987108627379735,7.340606807426513
1024,0.9,2,0.0,0.9993718205051539,6.861770443967603
1024,0.9,3,0.0,0.9997003729547921,6.528412837018003
1024,0.9,4,1.0,0.9978753838820162,9.26521310777075
1024,0.9,5,1.0,0.9986501955887201,7.370112709677176
1024,0.9,6,1.0,0.9986365124597008,8.896597964572202
1024,0.9,7,1.0,0.9992624522548123,5.345921461186808
1024,0.9,8,1.0,0.9978402550262241,9.180967450541795
1024,0.9,9,1.0,0.9984989841111006,7.996721739495259
4096,0.1,0,0.0,0.9996118415541307,14.401812755017767
4096,0.1,1,0.0,0.999967821159842,12.861878977403313
4096,0.1,2,0.0,0.9997802736216376,13.354513633801242
4096,0.1,3,0.0,0.9996906763035048,14.255061490606304
4096,0.1,4,1.0,0.9991567311898464,21.810083397890164
4096,0.1,5,0.0,1.000005748241814,13.358909605250613
4096,0.1,6,0.0,0.9999019712288839,15.914082548708985
4096,0.1,7,0.0,1.000035148355908,11.65994071564916
4096,0.1,8,1.0,0.9993240662379274,19.45476843038241
4096,0.1,9,0.0,0.9998995551753794,13.455451873594003
4096,0.5,0,0.0,0.9996118415541307,14.401812755017767
4096,0.5,1,0.0,0.999967821159842,12.861878977403313
4096,0.5,2,0.0,0.9997802736216376,13.354513633801243
4096,0.5,3,0.0,0.9996906763035048,14.255061490606304
4096,0.5,4,1.0,0.9991567311898464,21.810083397890168
4096,0.5,5,0.0,1.000005748241814,13.358909605250613
4096,0.5,6,0.0,0.9999019712288839,15.914082548708983
4096,0.5,7,0.0,1.000035148355908,11.65994071564916
4096,0.5,8,1.0,0.9993240662379274,19.454768430382412
4096,0.5,9,0.0,0.9998995551753794,13.455451873594003
4096,0.9,0,0.0,0.9996118415541307,14.401812755017765
4096,0.9,1,0.0,0.999967821159842,12.861878977403311
4096,0.9,2,0.0,0.9997802736216376,13.354513633801245
4096,0.9,3,0.0,0.9996906763035048,14.255061490606304
4096,0.9,4,1.0,0.9991567311898464,21.810083397890168
4096,0.9,5,0.0,1.000005748241814,13.358909605250615
4096,0.9,6,0.0,0.9999019712288839,15.914082548708985
4096,0.9,7,0.0,1.000035148355908,11.65994071564916
4096,0.9,8,1.0,0.9993240662379274,19.454768430382412
4096,0.9,9,0.0,0.9998995551753794,13.455451873594004
